French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
matin,morning
enfant,child
point,point
venu,came
venez,come
devant,in front of
demandé,request
belle,beautiful
droit,law
aujourd'hui,today
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
